YEAR,BRANCH,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
2016,West Belmont,78,84081.0,23130.0,107113.0
2016,West Chicago Avenue,78,16645.0,24502.0,38328.0
2016,West Englewood,78,16878.0,32618.0,114176.0
2016,West Lawn,78,59115.0,22399.0,79280.0
2016,West Pullman,78,26449.0,35506.0,90324.0
2016,West Town,78,75478.0,29177.0,124871.0
2016,"Whitney M. Young, Jr.",78,23194.0,33975.0,90934.0
2016,Woodson Regional,66,74622.0,101356.0,283611.0
2016,Wrightwood-Ashburn,78,25190.0,19729.0,65873.0
2017,Albany Park,78,121534.0,30645.0,157976.0
2017,Altgeld,78,4297.0,12098.0,38428.0
2017,Archer Heights,78,68197.0,20717.0,92895.0
2017,Austin,45,11966.0,10478.0,56504.0
2017,Austin-Irving,78,110235.0,18173.0,103731.0
2017,Avalon,78,45981.0,54028.0,145946.0
2017,Back of the Yards,78,31124.0,21735.0,60218.0
2017,Beverly,78,72769.0,45754.0,148208.0
2017,Bezazian,78,102832.0,29568.0,123578.0
2017,Blackstone,78,96778.0,19859.0,99462.0
2017,Brainerd,78,12425.0,17540.0,64234.0
2017,Brighton Park,78,56112.0,17537.0,71204.0
2017,Bucktown-Wicker Park,78,117212.0,16534.0,117553.0
2017,Budlong Woods,78,97721.0,18750.0,129401.0
2017,Canaryville,78,23027.0,9404.0,39835.0
2017,Chicago Bee,78,12740.0,11955.0,49140.0
2017,Chicago Lawn,78,38739.0,22521.0,78057.0
2017,Chinatown,78,127037.0,37298.0,275901.0
2017,Clearing,78,37950.0,11615.0,69730.0
2017,Coleman,78,40095.0,27905.0,95022.0
2017,"Daley, Richard J. - Bridgeport",78,66355.0,17883.0,76603.0
2017,"Daley, Richard M. - W. Humboldt",78,31597.0,36938.0,128388.0
2017,Douglass,78,15553.0,18747.0,72122.0
2017,Dunning,78,58392.0,15448.0,122465.0
2017,Edgebrook,78,101906.0,9947.0,95049.0
2017,Edgewater,78,182962.0,46964.0,197383.0
2017,Gage Park,78,19172.0,8939.0,41438.0
2017,Garfield Ridge,78,61434.0,12344.0,74800.0
2017,Greater Grand Crossing,78,23192.0,24112.0,33578.0
2017,Hall,78,15017.0,16810.0,56626.0
2017,Harold Washington Library Center,78,634570.0,287129.0,1233309.0
2017,Hegewisch,78,25300.0,10157.0,54963.0
2017,Humboldt Park,78,63037.0,25217.0,98033.0
2017,Jefferson Park,78,86449.0,18392.0,89420.0
2017,Jeffery Manor,78,9057.0,14345.0,70704.0
2017,Kelly,78,11160.0,12341.0,58574.0
2017,King,78,28927.0,24282.0,68071.0
2017,Legler Regional,78,12520.0,26292.0,83753.0
2017,Lincoln Belmont,78,154474.0,15616.0,153024.0
2017,Lincoln Park,78,117833.0,16540.0,119885.0
2017,Little Village,78,61242.0,33123.0,120351.0
