,lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
10,Brainerd,22031,9431,12600,1217,17505,4081,421,20555,47,81,0,654,273,1036,9210,7852,22000,7323,4961,2492,21169,862,19687,443,7852,6767,6065,657,2898,2468,7852,4387,1665,959,231,41.41428571428571,27.914285714285715,2.81,3.5571428571428574,22.014285714285712,48875.42857142857,62126.0,23850.14285714286,11.985714285714286,16.95714285714286,1499.2857142857142,584.4285714285714,1009.2857142857143,0.42807861649493895,0.571921383505061
11,Brighton Park,31841,15892,15949,2103,23219,3062,11992,399,570,3081,81,10784,4934,25556,10029,9305,31831,12149,9007,2382,19365,12476,5134,12574,9305,8320,7478,545,2604,2254,9305,4751,1534,1126,279,31.442857142857143,45.55714285714286,3.44,3.802857142857143,9.4,49670.28571428572,63644.71428571428,19286.0,15.657142857142857,18.47142857142857,1610.5714285714287,639.0,931.7142857142857,0.4991049276090575,0.5008950723909424
12,Bucktown-Wicker Park,34648,17687,16961,2591,29376,1967,27066,1793,62,2260,0,1104,2363,5104,17255,15964,34439,5994,4994,21159,30789,3859,26596,1644,15964,15424,14925,5580,1539,645,15964,6725,3183,956,256,32.315384615384616,18.553846153846152,2.1476923076923073,2.9130769230769227,2.5384615384615383,136974.3076923077,190778.92307692306,89297.84615384616,3.4846153846153842,6.292307692307692,3463.076923076923,1203.0833333333333,1960.8461538461538,0.510476795197414,0.489523204802586
13,Budlong Woods,41528,20276,21252,3014,32197,5051,25594,2551,447,6755,14,2497,3670,9906,16699,15721,40905,11715,9188,14810,28046,13482,19478,8880,15721,14997,13723,2600,3075,2024,15721,7076,2473,861,531,38.325,30.5375,2.55375,3.2275,6.0375000000000005,79026.125,105109.125,43399.0,8.275,10.799999999999999,2453.625,939.625,1371.125,0.48824889231361973,0.5117511076863803
14,Canaryville,8801,4546,4255,554,6815,1500,4257,2134,10,659,0,878,863,2122,4184,3468,8787,2745,1825,1289,7699,1102,6180,948,3468,2996,2844,171,1277,974,3468,1600,935,151,78,42.35,29.775,2.4225,3.2175,16.425,52518.5,65129.25,26092.5,20.1,24.475,1648.3333333333333,663.5,942.0,0.5165322122486081,0.4834677877513919
15,Chicago Bee,10197,4721,5476,708,8212,1552,2505,5760,87,1407,0,155,283,772,4011,3714,8035,2480,3522,1640,8475,1722,7303,1062,3714,3222,3027,343,1021,1667,3714,782,1894,201,70,31.566666666666666,25.366666666666664,2.27,3.3783333333333334,20.333333333333332,38038.0,59114.666666666664,21589.5,32.63333333333333,42.516666666666666,2192.0,832.5,886.1666666666666,0.4629793076395018,0.5370206923604982
16,Chicago Lawn,38635,18848,19787,3220,28521,5030,11431,12956,262,95,0,8893,4998,24267,14106,12465,38538,13950,9897,2167,28293,10342,14185,9132,12465,10296,9546,642,3997,3954,12465,5480,2955,1662,159,32.075,38.9125,3.07375,3.8475,17.35,40152.375,52772.125,18058.5,20.675,22.1,1539.625,670.375,951.875,0.4878478063931668,0.5121521936068332
17,Chinatown,17288,8007,9281,974,14230,3493,5158,1631,79,9662,0,317,441,1312,7890,7391,17273,3940,3429,5907,9793,7495,7038,5933,7391,6366,5909,813,2279,1552,7391,3559,2443,616,410,40.916666666666664,21.983333333333334,2.2966666666666664,2.936666666666667,4.1499999999999995,71870.5,94485.33333333333,43703.0,13.9,17.0,2702.5,921.8333333333334,1080.2,0.4631536325775104,0.5368463674224896
18,Clearing,22616,11619,10997,1475,16875,2461,13999,494,424,132,0,3907,3660,12987,8347,7978,22605,8095,5952,3497,17949,4667,9803,4214,7978,7150,6992,562,1965,1040,7978,5606,699,873,281,37.18,37.68,2.848,3.592,7.24,68090.8,82377.0,30774.6,4.12,5.38,1702.0,618.2,1120.4,0.5137513264945172,0.48624867350548284
19,Coleman,31904,14761,17143,1670,24926,3334,3616,25795,27,1141,0,505,820,791,16800,13368,29250,9664,10672,5077,30087,1817,26971,1281,13368,11830,10724,1071,3410,5344,13368,2523,5575,641,236,33.78,27.586666666666666,2.2633333333333336,3.312,20.62,36237.0,59498.13333333333,20080.8,28.526666666666664,34.85333333333333,1872.7857142857142,706.8571428571429,1079.8,0.46266925777331996,0.5373307422266801
20,"Daley, Richard J.",31724,15692,16032,1414,25796,4804,14641,833,179,11853,0,2556,1662,7382,13005,12250,31682,7776,7375,8971,21066,10658,14283,8244,12250,11395,11072,1723,2950,1330,12250,6209,1970,955,630,38.166666666666664,26.022222222222222,2.612222222222222,3.361111111111111,6.655555555555555,69250.55555555556,88153.66666666667,34661.555555555555,11.311111111111112,14.333333333333334,2308.222222222222,755.1111111111111,1154.888888888889,0.49464128104904803,0.505358718950952
