Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
Independence,4.856623974226233,4.928959208326071,4.821049129654294,4.829822712277851,4.756029729338222,4.840523494412065,4.7130664304303735,5.0315482296983856,4.852427109460082,4.497352103511109,4.816409245908184,4.951929361544127
Jefferson Park,4.773025289222236,4.759826161627228,4.772930567221019,4.702753358285853,4.675539787672341,4.7804833857322615,4.736377082854248,4.908448343578499,4.765666214959118,4.942519675048372,4.788823394192464,4.697131387349961
Jeffery Manor,13.024279623282176,7.396913800028891,10.998742521402145,9.920998057290618,9.721314562385013,11.38162871867964,10.054158699805132,10.346069327043027,11.258474252848472,10.159181548506298,11.187271421994458,10.77187004290544
Kelly,4.5649780184031865,5.510616873000616,5.536530312849916,5.876981027341047,6.540245640975273,5.529006675920987,5.357195320116846,6.797889943542722,5.623386056078785,4.948572830315429,5.6128592704781335,4.92224046303855
King,6.992297555065021,5.56133253871553,5.889667479089258,6.445708032954836,6.886204063810349,5.985394659095841,5.354818913709867,6.980660906507311,5.849497416328352,5.624134794242045,5.606010654996674,5.1690145302456365
Legler Regional,7.271186224061737,5.265112090313511,5.843611402098556,6.16107455932258,6.176876024228994,5.999149088779982,5.572418811355083,5.921317542924069,6.033615255045989,5.2217037811916684,5.882837037352085,5.799976382717091
Lincoln Belmont,4.0383158262128775,4.310783476206416,4.067934899211679,3.998657172847411,3.976182279428625,4.104529392041467,3.80522165052594,4.163043295806609,4.091778950962754,3.937011334316266,4.164299691841463,4.630838746627632
Lincoln Park,4.119666458515806,4.248332875673789,4.148093772566008,4.136933967512756,4.210500916305963,4.130911556168885,4.339212765128938,4.114063317551079,4.15492879686132,4.010465081112214,4.232209014482182,3.8378259271467576
Little Italy,3.530109651615038,2.8914000336296497,3.229556728960203,3.243287801967721,3.262532103335861,3.2954119351877798,3.011497889849577,3.3037015272840677,3.1844315819716336,3.483843800477396,2.654397037614176,3.042713540296237
Little Village,4.540056652366237,5.863681829556653,4.794951331994894,4.952438119006248,5.156702950723941,4.794229225823343,4.461535088001667,4.905008242383598,4.668536746680466,5.103549778368588,4.842017447767141,4.098421817299171
Logan Square,5.225833511861694,4.923398054691479,5.292004700339289,5.077360591759963,4.975044507516965,5.363648065062363,5.289893579434159,5.397544118983457,5.348164161578383,5.533371160947039,5.3479404128397,5.439739382180261
Lozano,4.435257839395702,4.672761518150929,4.512080483793956,4.389039063896385,4.3621271447542975,4.528404924227957,4.404412977328722,4.426150684261864,4.5302999866822695,4.253748408966958,4.437767275332628,4.638634887958372
Manning,5.194748103987948,5.075358851105933,5.223559301947888,5.281933885438973,5.521863098942498,5.219554332648026,5.2372330614325815,5.786092393726036,5.222344676421327,5.236394908064117,5.253572740727719,5.064534234464481
Mayfair,4.849817328410755,4.48767936681063,4.709497612672061,4.81037707232147,5.213690125752109,4.688473835874111,4.589878232590833,4.869163816572896,4.68075967566603,4.670280163971214,4.68047048025985,4.6773996487829
McKinley Park,5.52955042750722,8.534931958566277,5.467228930731172,5.1181863701170665,4.796483507005938,5.441522767660661,6.461142602392137,4.391907086068763,5.5597100943987385,5.950279732562532,5.592609869952989,5.635094922122282
Merlo,4.105600059918793,3.974175034687843,4.091432392118734,4.089132581102287,4.180502699661075,4.089898104257231,4.133212509062574,4.103907191225519,4.096661267256715,4.025923146769618,4.091624959068803,4.030551514460541
Mount Greenwood,8.111601363047681,7.978448415957903,8.164649675771637,8.211810973221588,7.997806262054625,8.175837127247942,8.106470275422012,7.717164835415226,8.189431750139061,7.874129088074831,8.137624887636628,8.387385034467849
