,BRANCH,LOCATION,LATITUDE,LONGITUDE,geometry,list of dict
42,Little Italy,"(41.86946341218242, -87.66072612668584)",41.86946341218242,-87.66072612668584,"POLYGON ((-87.659726 41.872999, -87.661726 41.872914, -87.664985 41.870722, -87.666138 41.869463, -87.664956 41.868234, -87.662912 41.867463, -87.662695 41.866494, -87.661726 41.866032, -87.658726 41.866455, -87.656726 41.867871, -87.655389 41.869463, -87.656109 41.870463, -87.659726 41.872999))","[{17031842900: 0.012158595132420185, 17031283100: 0.6269080552699137, 17031283200: 0.932294310581063, 17031833300: 0.043762151303117544, 17031832900: 0.07126737029457213}]"
43,Little Village,"(41.84959155873184, -87.70504118331108)",41.84959155873184,-87.70504118331108,"POLYGON ((-87.705041 41.853709, -87.708041 41.851844, -87.70995 41.849592, -87.70871 41.848592, -87.708323 41.847592, -87.705041 41.845519, -87.703131 41.846681, -87.700116 41.849592, -87.700411 41.850592, -87.705041 41.853709))","[{17031301100: 0.0030788726702002892, 17031843100: 0.0002109269075205399, 17031300800: 0.5386627715035897, 17031300900: 0.5915899652747284, 17031841700: 0.20073159320574077}]"
44,Logan Square,"(41.924860376546214, -87.7035190503226)",41.924860376546214,-87.7035190503226,"POLYGON ((-87.702519 41.928201, -87.705519 41.927021, -87.706519 41.927358, -87.707519 41.927016, -87.708869 41.92486, -87.706618 41.922762, -87.702519 41.921648, -87.698534 41.92386, -87.698185 41.92486, -87.699519 41.926249, -87.700519 41.926321, -87.702519 41.928201))","[{17031221100: 0.022296322317480893, 17031221300: 0.20796144929099739, 17031221200: 0.33871003627001456, 17031220601: 0.07003326139273773, 17031220500: 0.3793760628280714, 17031220602: 0.0006696899080073976, 17031220400: 0.1949368612419978}]"
45,Lozano,"(41.857601233304614, -87.66116376475367)",41.857601233304614,-87.66116376475367,"POLYGON ((-87.658164 41.860741, -87.659164 41.861211, -87.660164 41.860431, -87.661164 41.861547, -87.662139 41.860576, -87.664297 41.859734, -87.665405 41.858601, -87.666164 41.857601, -87.665177 41.856601, -87.665453 41.855601, -87.664164 41.854199, -87.661164 41.853574, -87.657982 41.855601, -87.656087 41.857601, -87.658164 41.860741))","[{17031310500: 0.007593143521387919, 17031310800: 2.737472580746878e-05, 17031310700: 0.47769737867821316, 17031310600: 0.6046069912735564, 17031842900: 0.026702146657897777}]"
46,Manning,"(41.88108555559726, -87.67923504553734)",41.88108555559726,-87.67923504553734,"POLYGON ((-87.678235 41.88431, -87.679235 41.885054, -87.683639 41.882086, -87.684499 41.881086, -87.682235 41.878878, -87.680221 41.8781, -87.679235 41.877151, -87.678235 41.877251, -87.676235 41.878698, -87.674875 41.880725, -87.673967 41.881086, -87.676235 41.883445, -87.678235 41.88431))","[{17031838000: 0.36312809161932824, 17031838100: 0.07285926437224519, 17031280400: 0.004079170577011738, 17031280900: 0.014428827008464368, 17031837800: 0.16893595671554376}]"
47,Mayfair,"(41.968242773953044, -87.737968778247)",41.968242773953044,-87.737968778247,"POLYGON ((-87.737969 41.972483, -87.742339 41.969613, -87.74298 41.968243, -87.741709 41.967503, -87.741028 41.966183, -87.738969 41.964929, -87.736969 41.96435, -87.735555 41.964829, -87.732495 41.968243, -87.737969 41.972483))","[{17031160200: 0.03740264802597957, 17031160100: 0.13962860823876905, 17031140500: 0.21456581433222807, 17031140400: 0.1980182797116682}]"
48,McKinley Park,"(41.83030074817219, -87.67349098124289)",41.83030074817219,-87.67349098124289,"POLYGON ((-87.672491 41.833416, -87.675491 41.833174, -87.678791 41.830301, -87.674491 41.826575, -87.672491 41.826611, -87.668079 41.830301, -87.66871 41.831301, -87.672491 41.833416))","[{17031590500: 0.07258905487977034, 17031590600: 0.46387745066582975, 17031590700: 0.02666535200527456, 17031840400: 0.1442432350906513, 17031840300: 0.055611312081333436}]"
49,Merlo,"(41.940131637508564, -87.64602857926714)",41.940131637508564,-87.64602857926714,"POLYGON ((-87.644029 41.94315, -87.645029 41.943171, -87.647353 41.941132, -87.648185 41.940975, -87.649029 41.941838, -87.651384 41.940132, -87.649029 41.938241, -87.648029 41.938452, -87.647318 41.937842, -87.645029 41.937658, -87.644029 41.937006, -87.643231 41.938334, -87.641447 41.939132, -87.640643 41.940132, -87.644029 41.94315))","[{17031063000: 0.04284995130099621, 17031063100: 0.5926228382449459, 17031063200: 0.13897003371120883, 17031062100: 0.07191273436763655, 17031062000: 0.3792799662414967, 17031061901: 0.33667436777743037, 17031061902: 0.02549764722027656}]"
50,Mount Greenwood,"(41.693015814018004, -87.70102477600602)",41.693015814018004,-87.70102477600602,"POLYGON ((-87.701025 41.697284, -87.703423 41.695016, -87.702025 41.694427, -87.701898 41.693889, -87.704609 41.6936, -87.705796 41.693016, -87.704621 41.692016, -87.704368 41.691016, -87.702025 41.689776, -87.701025 41.688754, -87.697562 41.691016, -87.697198 41.692016, -87.698025 41.6927, -87.699299 41.692742, -87.699441 41.694016, -87.69844 41.695016, -87.700025 41.696866, -87.701025 41.697284))","[{17031740400: 0.018834653872404707, 17031740300: 0.0963664086867634, 17031740100: 0.17074701524023025}]"
51,Near North,"(41.90393142178499, -87.63660775555267)",41.90393142178499,-87.63660775555267,"POLYGON ((-87.633608 41.905997, -87.634608 41.90656, -87.636608 41.905234, -87.637288 41.906251, -87.638608 41.906909, -87.641021 41.905344, -87.642061 41.903931, -87.640904 41.902635, -87.639246 41.902293, -87.638608 41.900947, -87.637608 41.900337, -87.636608 41.900625, -87.635608 41.901589, -87.634608 41.901295, -87.632608 41.90253, -87.631312 41.903931, -87.633608 41.905997))","[{17031081000: 0.1334487067135271, 17031838300: 0.42712364266330743, 17031080202: 0.08268597935154418, 17031080400: 0.2029766247761177, 17031080300: 0.3060445069750011}]"
